,usmv,sphb,vix,hold_usmv,hold_sphb,usmv_ret,sphb_ret,total_ret,total_cumret
2022-03-21,74.5826416015625,74.76290893554688,23.530000686645508,0.0,1,-0.0,-0.006235692736491383,-0.006235692736491383,5.3612544938855375
2022-03-22,74.95341491699219,75.83406829833984,22.940000534057617,0.0,1,0.0,0.014327416870796306,0.014327416870796306,5.452394838840662
2022-03-23,74.03624725341797,74.27693176269531,23.56999969482422,0.0,1,-0.0,-0.020533469594675835,-0.020533469594675835,5.319904785604484
2022-03-24,74.76866912841797,75.90349578857422,21.670000076293945,0.0,1,0.0,0.021898643189457,0.021898643189457,5.458302125495778
2022-03-25,75.1799087524414,75.71504974365234,20.809999465942383,1.0,0,0.005500159743610178,-0.0,0.005500159743610178,5.493823818858502
2022-03-28,75.78699493408203,76.11177825927734,19.6299991607666,1.0,0,0.00807511197758548,0.0,0.00807511197758548,5.546262173358496
2022-03-29,76.64865112304688,78.0259780883789,18.899999618530273,1.0,0,0.011369446561567687,0.0,0.011369446561567687,5.620689551316508
2022-03-30,76.5703125,76.46882629394531,19.329999923706055,1.0,0,-0.001022048293075839,-0.0,-0.001022048293075839,5.6139228868616
2022-03-31,75.95344543457031,75.33816528320312,20.559999465942383,1.0,0,-0.00805621715896332,-0.0,-0.00805621715896332,5.560639687812405
2022-04-01,76.45282745361328,75.34808349609375,19.6299991607666,1.0,0,0.006574843526659491,0.0,0.006574843526659491,5.603774867194564
2022-04-04,76.59969329833984,76.69695281982422,18.56999969482422,1.0,0,0.001920999518502775,0.0,0.001920999518502775,5.616460715534745
2022-04-05,76.39407348632812,74.6042251586914,21.030000686645508,1.0,0,-0.0026843424974415386,-0.0,-0.0026843424974415386,5.598699868853383
2022-04-06,76.75634765625,72.76937103271484,22.100000381469727,1.0,0,0.004742176367734885,-0.0,0.004742176367734885,5.629992067429234
2022-04-07,77.2948989868164,72.7892074584961,21.549999237060547,1.0,0,0.007016375153469756,0.0,0.007016375153469756,5.676510579038847
2022-04-08,77.4515609741211,72.15443420410156,21.15999984741211,1.0,0,0.00202680887559481,-0.0,0.00202680887559481,5.690042589938445
2022-04-11,76.51156616210938,71.0733642578125,24.3700008392334,1.0,0,-0.012136550899546128,-0.0,-0.012136550899546128,5.608848547525525
2022-04-12,76.11990356445312,70.85516357421875,24.260000228881836,0.0,1,-0.0,-0.0030700767562127362,-0.0030700767562127362,5.588558875214437
2022-04-13,76.65843963623047,72.24369812011719,21.81999969482422,0.0,1,0.0,0.019596801077792936,0.019596801077792936,5.717673552881341
2022-04-14,76.15906524658203,70.92459106445312,22.700000762939453,1.0,0,-0.00651427803667981,-0.0,-0.00651427803667981,5.673912759598221
2022-04-18,75.62052917480469,71.13286590576172,22.170000076293945,0.0,1,-0.0,0.0029365673905588086,0.0029365673905588086,5.693511154175492
2022-04-19,76.55073547363281,72.97764587402344,21.3700008392334,1.0,0,0.012300975792933988,0.0,0.012300975792933988,5.775847872852738
2022-04-20,76.84449768066406,72.58091735839844,20.31999969482422,1.0,0,0.0038374837970358566,-0.0,0.0038374837970358566,5.80185007927599
2022-04-21,76.13948059082031,70.27991485595703,22.68000030517578,1.0,0,-0.009174594292665317,-0.0,-0.009174594292665317,5.7394458643591
