,usmv,sphb,vix,hold_usmv,hold_sphb
2020-06-11,56.789329528808594,38.42675018310547,40.790000915527344,0.0,1
2020-08-27,61.91743087768555,42.884254455566406,24.469999313354492,0.0,1
2020-08-31,62.07947540283203,42.77665328979492,26.40999984741211,0.0,1
2020-09-02,63.25188064575195,43.70594787597656,26.56999969482422,0.0,1
2020-09-03,61.736324310302734,43.177711486816406,33.599998474121094,0.0,1
2020-10-26,61.371437072753906,42.63971710205078,32.459999084472656,0.0,1
2020-10-27,60.91166305541992,41.739768981933594,33.349998474121094,0.0,1
2020-10-28,59.11084747314453,40.2039909362793,40.279998779296875,0.0,1
2020-12-14,63.82472229003906,54.681339263916016,24.719999313354492,0.0,1
2020-12-21,64.54638671875,54.67471694946289,25.15999984741211,1.0,0
2021-01-04,64.40206146240234,54.969459533691406,26.969999313354492,0.0,1
2021-01-27,64.15187072753906,55.76526641845703,37.209999084472656,0.0,1
2021-05-04,69.65672302246094,72.30337524414062,19.479999542236328,1.0,0
2021-05-10,70.55519104003906,74.16411590576172,19.65999984741211,1.0,0
2021-05-11,69.8692626953125,72.94331359863281,21.84000015258789,1.0,0
2021-05-12,68.71958923339844,71.24007415771484,27.59000015258789,1.0,0
2021-06-18,69.60885620117188,71.61418914794922,20.700000762939453,1.0,0
2021-07-19,72.26376342773438,67.17411041259766,22.5,1.0,0
2021-08-18,74.29853057861328,70.36393737792969,21.56999969482422,1.0,0
2021-08-19,74.62796783447266,69.34674835205078,21.670000076293945,1.0,0
2021-09-20,72.8354263305664,70.97623443603516,25.709999084472656,1.0,0
2021-11-10,75.64898681640625,79.21251678466797,18.729999542236328,1.0,0
2021-11-22,75.49337768554688,78.91624450683594,19.170000076293945,1.0,0
2021-11-23,75.6100845336914,79.21251678466797,19.3799991607666,1.0,0
2021-11-26,74.87088775634766,75.95355987548828,28.6200008392334,1.0,0
2021-12-01,73.37310028076172,73.87966918945312,31.1200008392334,1.0,0
2022-01-19,74.82656860351562,75.15287017822266,23.850000381469727,0.0,1
2022-01-20,74.12406921386719,73.727783203125,25.59000015258789,0.0,1
2022-01-21,73.3630142211914,71.71884155273438,28.850000381469727,0.0,1
2022-01-24,73.69476318359375,72.53033447265625,29.899999618530273,1.0,0
2022-01-25,72.50440979003906,72.04541778564453,31.15999984741211,1.0,0
2022-01-26,71.63601684570312,71.97615051269531,31.959999084472656,1.0,0
2022-03-01,71.67505645751953,72.93608093261719,33.31999969482422,0.0,1
2022-03-07,72.27999877929688,67.97801971435547,36.45000076293945,0.0,1
2022-04-22,74.27908325195312,68.2566146850586,28.209999084472656,0.0,1
2022-04-26,73.08451080322266,66.48126983642578,33.52000045776367,0.0,1
2022-05-09,69.83369445800781,62.88098907470703,34.75,0.0,1
2022-06-13,66.80619049072266,58.83438491821289,34.02000045776367,0.0,1
2022-08-23,72.92501831054688,66.65421295166016,24.110000610351562,0.0,1
2022-08-26,71.68749237060547,65.9786376953125,25.559999465942383,1.0,0
2022-08-29,71.27499389648438,65.3328628540039,26.209999084472656,0.0,1
2022-08-30,70.65623474121094,64.70695495605469,26.209999084472656,0.0,1
2022-09-06,69.84105682373047,62.978248596191406,26.90999984741211,0.0,1
2022-09-13,70.3321304321289,64.59765625,27.270000457763672,0.0,1
2022-09-21,67.92585754394531,61.82461929321289,27.989999771118164,0.0,1
2022-09-23,67.04191589355469,58.72145462036133,29.920000076293945,0.0,1
2022-09-26,66.32339477539062,57.97550582885742,32.2599983215332,0.0,1
2022-09-27,65.91875457763672,58.4031867980957,32.599998474121094,0.0,1
2022-10-11,65.35618591308594,56.772029876708984,33.630001068115234,0.0,1
2022-12-12,73.81439208984375,66.02185821533203,25.0,0.0,1
2023-02-09,71.41184997558594,73.89974975585938,20.709999084472656,1.0,0
2023-02-21,71.30278778076172,70.63170623779297,22.8700008392334,1.0,0
2023-03-10,68.53634643554688,66.7857666015625,24.799999237060547,0.0,1
2023-03-13,68.77432250976562,65.70970153808594,26.520000457763672,0.0,1
2023-05-04,72.46739959716797,64.76469421386719,20.09000015258789,1.0,0
2023-07-06,73.73999786376953,75.2300033569336,15.4399995803833,1.0,0
2023-08-02,74.98999786376953,77.62000274658203,16.09000015258789,1.0,0
2023-08-04,74.30000305175781,76.66999816894531,17.100000381469727,1.0,0
2023-08-17,73.86000061035156,72.73999786376953,17.889999389648438,1.0,0
