,usmv,sphb,^VIX,hold_usmv
2012-09-04,23.744338989257812,17.243127822875977,17.979999542236328,1
2012-09-05,23.720197677612305,17.225696563720703,17.739999771118164,1
2012-09-06,24.066293716430664,17.774621963500977,15.600000381469727,1
2012-09-07,23.99385643005371,18.192848205566406,14.380000114440918,1
2012-09-10,23.937519073486328,18.05344009399414,16.280000686645508,1
2012-09-11,23.969711303710938,18.323549270629883,16.40999984741211,1
2012-09-12,23.961668014526367,18.48038673400879,15.800000190734863,1
2012-09-13,24.187036514282227,18.88118553161621,14.050000190734863,1
2012-09-14,24.0743465423584,19.316831588745117,14.510000228881836,1
2012-09-17,24.0743465423584,19.02930450439453,14.59000015258789,1
2012-09-18,24.0743465423584,18.863752365112305,14.180000305175781,1
2012-09-19,24.114595413208008,18.90732192993164,13.880000114440918,1
2012-09-20,24.162887573242188,18.724349975585938,14.069999694824219,1
2012-09-21,24.187036514282227,18.660694122314453,13.979999542236328,1
2012-09-24,24.2161865234375,18.53860855102539,14.149999618530273,1
2012-09-25,24.07850456237793,18.093891143798828,15.430000305175781,1
2012-09-26,24.0299129486084,17.884614944458008,16.809999465942383,1
2012-09-27,24.11090660095215,18.18981170654297,14.84000015258789,1
2012-09-28,24.07850456237793,18.03285026550293,15.729999542236328,1
2012-10-01,24.11090660095215,18.059017181396484,16.31999969482422,1
2012-10-02,24.143299102783203,18.076454162597656,15.710000038146973,1
2012-10-03,24.256683349609375,18.03285026550293,15.430000305175781,1
2012-10-04,24.361974716186523,18.35549545288086,14.550000190734863,1
2012-10-05,24.418668746948242,18.32933235168457,14.329999923706055,1
2012-10-08,24.370067596435547,18.25957489013672,15.109999656677246,1
2012-10-09,24.143299102783203,18.154932022094727,16.3700008392334,1
2012-10-10,24.038013458251953,17.98054313659668,16.290000915527344,1
2012-10-11,23.973222732543945,18.215978622436523,15.59000015258789,1
2012-10-12,23.90842628479004,17.997982025146484,16.139999389648438,1
2012-10-15,24.086606979370117,18.18981170654297,15.270000457763672,1
2012-10-16,24.23238754272461,18.451414108276367,15.220000267028809,1
2012-10-17,24.337678909301758,18.695568084716797,15.069999694824219,1
2012-10-18,24.337678909301758,18.695568084716797,15.029999732971191,1
2012-10-19,23.997516632080078,18.277006149291992,17.059999465942383,1
2012-10-22,23.932723999023438,18.28573989868164,16.6200008392334,1
2012-10-23,23.76264762878418,17.97180938720703,18.829999923706055,1
2012-10-24,23.714046478271484,17.797420501708984,18.329999923706055,1
2012-10-25,23.81124496459961,17.884614944458008,18.1200008392334,1
2012-10-26,23.746440887451172,17.77997398376465,17.809999465942383,1
2012-10-31,23.81124496459961,17.806133270263672,18.600000381469727,1
2012-11-01,24.01371955871582,18.18981170654297,16.690000534057617,1
2012-11-02,23.795034408569336,17.91948890686035,17.59000015258789,1
2012-11-05,23.76264762878418,18.050294876098633,18.420000076293945,1
2012-11-06,23.85983657836914,18.303173065185547,17.579999923706055,1
2012-11-07,23.519670486450195,17.736373901367188,19.079999923706055,1
2012-11-08,23.34958839416504,17.500934600830078,18.489999771118164,1
2012-11-09,23.325286865234375,17.4660587310791,18.610000610351562,1
2012-11-12,23.309097290039062,17.579416275024414,16.68000030517578,1
2012-11-13,23.27669906616211,17.47477912902832,16.649999618530273,1
2012-11-14,23.009431838989258,17.1259765625,17.920000076293945,1
2012-11-15,22.968936920166016,17.16957664489746,17.989999771118164,1
2012-11-16,23.171411514282227,17.239336013793945,16.40999984741211,1
2012-11-19,23.422483444213867,17.675336837768555,15.239999771118164,1
2012-11-20,23.454883575439453,17.657896041870117,15.079999923706055,1
2012-11-21,23.527769088745117,17.753820419311523,15.3100004196167,1
2012-11-23,23.73834991455078,18.006694793701172,15.140000343322754,1
2012-11-26,23.68975067138672,17.9282169342041,15.5,1
2012-11-27,23.600664138793945,17.797420501708984,15.920000076293945,1
2012-11-28,23.778844833374023,17.97180938720703,15.510000228881836,1
2012-11-29,23.851734161376953,18.11133575439453,15.0600004196167,1
2012-11-30,23.892223358154297,18.128767013549805,15.869999885559082,1
2012-12-03,23.73834991455078,18.024137496948242,16.639999389648438,1
2012-12-04,23.697851181030273,18.03285026550293,17.1200008392334,1
2012-12-05,23.770742416381836,18.14621353149414,16.459999084472656,1
